Conference Acronym	Conference Name	Conference Location
CACS 2016	Fourth Annual Conference on Advances in Cognitive Systems	Evanston, Illinois
CSMC 2016	1st Conference on Computer Simulation of Musical Creativity	Huddersfield, UK
WISA 2016	8th Workshop on Intelligent Systems and Applications	Gran Canaria, Spain, Europe
PRICAI 2016	The 14th Pacific Rim International Conference on Artificial Intelligence	Phuket, Thailand
IE 2016	12th International Conference on Intelligent Environments	London, UK
IROS 2016	IEEE/RSJ International Conference on Intelligent Robots and Systems	Daejeon, Korea
UAI 2016	Conference on Uncertainty in Artificial Intelligence	New York, USA
IVUS 2016	Information Society and University Studies	Kaunas, Lithuania
ICARSC 2016	IEEE International Conference on Autonomous Robot Systems and Competitions	Bragança - Portugal
ICMMME--Ei 2016	2016 Int. Conf. on Mechanical, Materials, and Manufacturing Engineering (ICMMME 2016)--EI&SCOPUS	Seoul, South Korea
JFPC 2016	Douzièmes Journées Francophones de Programmation par Contraintes	Montpellier, France
PKAW 2016	Pacific Rim Knowledge Acquisition Workshop	Phuket, Thailand
WEIN 2016	The 6th International Workshop on Emergent Intelligence on Networked Agents	Singapore
ICACNI 2016	4th International Conference on Advanced Computing, Networking, and Informatics, Springer	Rourkela, Odisha, India
ICNME-Ei 2016	Ei Compendex, Scopus--2016 4th International Conference on Nano and Materials Engineering (ICNME 2016)	Bali, Indonesia
ICEET-Ei 2016	2016 4th International Conference on Electronics Engineering and Technology (ICEET 2016) - Ei Compendex, Scopus	Bali, Indonesia
ICEEE-Ei 2016	SCOPUS, Ei Compendex--2016 3rd International Conference on Electrical and Electronics Engineering (ICEEE 2016)	Istanbul, Turkey
EESMS 2016	2016 IEEE Workshop on Environmental, Energy, and Structural Monitoring Systems	Bari, Italy
ICTLE-Ei 2016	SCOPUS and Ei Compendex - 2016 5th International Conference on Traffic and Logistic Engineering (ICTLE 2016)	Sharjah, UAE
SysInt 2016	3rd International Conference on System-Integrated Intelligence: New Challenges for Product and Production Engineering	Paderborn, Germany
ICSIBO 2016	International Conference on Swarm Intelligence Based Optimization	Mulhouse, France
ICMEAE 2016	2016 3rd International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2016)--Ei Compendex & Scopus	Singapore
IEEE ICCRE 2016	2016 IEEE International Conference on Control and Robotics Engineering (ICCRE 2016)--Ei	Singapore
IEEE-ICISE 2016	2016 International Conference on Information Systems Engineering (ICISE 2016) - IEEE Xplore, Ei Compendex	Los Angeles, California, USA
EXPLORE 2016	EXPLORE 2016 @ AAMAS 2016: The 3rd Workshop on Exploring Beyond the Worst Case in Computational Social Choice	Singapore
IAC3T 2016	International Conference on Computing, Control and Communication Technology	Allahabad, India
ICIST 2016	6th International Conference on Information Systems and Technologies	Barcelona, Spain
IJCAI 2016	Twenty-Fifth International Joint Conference on Artificial Intelligence	New York, USA
IVAE 2016	1st Workshop on Intelligent Virtual and Augmented Environments	Greenville, South Carolina, USA
BBC 2016	9th Workshop on Biomedical and Bioinformatics Challenges for Computer Science - BBC2016	San Diego, CA, USA
Summer school 2016	Sixth Summer School in Cognitive Science: Reasoning	UQAM, Montreal, Qc. Canada
ICDMM 2016	ICDMM 2016 International Conference on Design, Materials and Manufacturing--SCOPUS & Ei	Kuala Lumpur, Malaysia
PEOCO 2016	2016 10th International Power Engineering and Optimization Conference (PEOCO2016)	Shah Alam, Selangor, Malaysia
ITS 2016	13th International Conference on Intelligent Tutoring System	Zagreb, Croatia
AI 2016	29th Canadian Conference on Artificial Intelligence	Victoria, BC, Canada
SE4GT'16@ISAmI 2016	Workshop on Smart Environments for Gerontechnology and e-Therapy (SE4GT'16)@ISAmI'16	Seville, Spain
KES-IDT 2016	8th International KES Conference on Intelligent Decision Technologies	Puerto de la Cruz, Tenerife, Spain
WOSCIA 2016	Workshop on Smart Cities and Intelligent Agents	Seville, Spain
PCSC 2016	Philippine Computing Science Congress	Palawan, Philippines
